Product name,Model,Supplier,Cost
Battery Video Doorbell,IPB192,Omnia,20
2K Video Doorbell SC162-WCD3,SC162-WCD3,Tuya,29.5
"Battery Solar Camera ",IPC197,Omnia,20
2K Battery Camera,SC155-WQ3,Tuya,21
"2K Battery Camera - solar ",SC155-WQ3(s),Tuya,24.3
Smart Door Windows Sensor,DS1 00- W/ DS01,Tuya,4.60
PIR Motion Sensor,MD100-W,Tuya,6.60
Super Remote Hub,S15-PRO,Tuya,15.10
Air-Conditioner Controller,S16-PRO,Tuya,16.5
"Universal Remote Control ",UFO-R1,Tuya,4.50
"Smart Power Strip ",WPS20-EU,,21
Smart Plug,"F1S204-EU, F1S302-UK",Tuya,5.70
"Pet Feeder + Pet Water Fountain ",F17-C+W8,Tuya,16.60
Smart Lock Box,LL05- B,Tuya,24.60
